Organization Name,Use Case Name,Submission Date and Time (UTC),Reference Number,Submission Status,Organization Status
Irish Life,Address Update,2026-06-20 08:19:51.483000Z,187531M,Completed,Active
Irish Life,Address Update,2026-06-19 09:59:11.937000Z,187531M,Received,Active
Irish Life,Address Update,2026-06-19 09:43:31.341000Z,187531M,Submitted,Active
Irish Life,Address Update,2026-06-08 07:56:37.926000Z,176752M,Completed,Active
Irish Life,Address Update,2026-06-04 19:46:02.825000Z,176752M,Received,Active
Irish Life,Address Update,2026-06-04 19:32:05.503000Z,176752M,Submitted,Active
Cornmarket,Retirement Dates,2026-06-02 11:02:36.038000Z,175413M,Received,Active
Cornmarket,Retirement Dates,2026-06-02 10:44:13.339000Z,175413M,Submitted,Active
Cornmarket,Retirement Dates,2026-06-02 08:25:40.702000Z,163788M,Completed,Active
Cornmarket,Retirement Dates,2026-06-01 18:37:36.484000Z,162345M,Completed,Active
Viatel Ireland Ltd,Update Members,2026-06-30 17:38:22.818000Z,191693M,Received,Active
Viatel Ireland Ltd,Update Members,2026-06-30 17:38:22.147000Z,191695M,Received,Active
Viatel Ireland Ltd,Update Members,2026-06-30 17:19:57.451000Z,191695M,Submitted,Active
Viatel Ireland Ltd,Update Members,2026-06-30 17:15:19.583000Z,191693M,Submitted,Active
Kaseya Limited,Update Members,2026-06-30 14:48:13.313000Z,189394M,Completed,Active
eFlexes,Update Members,2026-06-30 14:23:16.248000Z,189266M,Completed,Active
Hertz Europe Service Centre Limited,Update Members,2026-06-30 12:44:06.119000Z,189071M,Completed,Active
Stantec UK Limited Ireland Branch,Update Members,2026-06-30 12:44:05.799000Z,189170M,Completed,Active
Abtran,Update Members,2026-06-30 12:44:05.012000Z,189100M,Completed,Active
Ecocem Ireland Limited,Update Members,2026-06-30 12:43:48.168000Z,189809M,Completed,Active
Irish Life,Update Members,2026-06-30 09:18:17.333000Z,191357M,Received,Active
Irish Life,Update Members,2026-06-30 08:58:14.645000Z,191357M,Submitted,Active
Aldi Stores Ireland,Update Members,2026-06-30 08:53:50.967000Z,173250M,Completed,Active
Unio Employee Benefits,Update Members,2026-06-30 08:53:38.728000Z,157815M,Completed,Active
Premier Lotteries Ireland DAC,Update Members,2026-06-30 08:53:33.195000Z,188193M,Completed,Active
The Irish Times,Update Members,2026-06-30 08:53:27.504000Z,187611M,Completed,Active
IKEA Ireland Defined Contribution Scheme,Update Members,2026-06-30 07:35:42.973000Z,191305M,Received,Active
IKEA Ireland Defined Contribution Scheme,Update Members,2026-06-30 07:21:01.152000Z,191305M,Submitted,Active
Tata Consultancy Services Ltd,Update Members,2026-06-29 15:28:58.894000Z,191118M,Received,Active
Tata Consultancy Services Ltd,Update Members,2026-06-29 15:05:07.465000Z,191118M,Submitted,Active
Grifols Worldwide Operations Ltd,Update Members,2026-06-29 13:59:04.281000Z,191035M,Received,Active
Grifols Worldwide Operations Ltd,Update Members,2026-06-29 13:36:19.114000Z,191035M,Submitted,Active
National Business Machines Ltd,Update Members,2026-06-29 13:25:06.134000Z,166484M,Cancelled,Active
Shopify International Limited,Update Members,2026-06-29 12:35:48.043000Z,190965M,Received,Active
Shopify International Limited,Update Members,2026-06-29 12:13:33.479000Z,190965M,Submitted,Active
Sandvik Mining and Construction Logistics,Update Members,2026-06-29 09:34:47.204000Z,188785M,Completed,Active
Shine,Update Members,2026-06-29 09:28:55.642000Z,188803M,Completed,Active
Kaseya Limited,Update Members,2026-06-29 09:07:06.397000Z,189423M,Completed,Active
Firhouse Credit Union Ltd,Update Members,2026-06-29 09:07:00.470000Z,189238M,Completed,Active
RWS Group,Update Members,2026-06-29 08:21:53.751000Z,188294M,Completed,Active
Three Ireland Hutchison Limited,Update Members,2026-06-29 08:13:32.216000Z,186024M,Completed,Active
Mathworks Limited,Update Members,2026-06-28 11:28:46.706000Z,172701M,Completed,Active
Mathworks Limited,Update Members,2026-06-28 11:28:45.976000Z,187664M,Completed,Active
PHX Ireland Group Limited,Update Members,2026-06-26 16:00:23.160000Z,190411M,Received,Active
PHX Ireland Group Limited,Update Members,2026-06-26 15:38:14.129000Z,190411M,Submitted,Active
Sandvik Mining and Construction Logistics,Update Members,2026-06-26 10:59:01.211000Z,188786M,Completed,Active
Sandvik Mining and Construction Logistics,Update Members,2026-06-26 10:58:55.649000Z,188787M,Completed,Active
Intercom R and D Unlimited Company,Update Members,2026-06-26 10:58:39.816000Z,189718M,Completed,Active
Aldi Stores Ireland,Update Members,2026-06-26 10:13:13.180000Z,190164M,Received,Active
Aldi Stores Ireland,Update Members,2026-06-26 10:13:12.289000Z,190163M,Received,Active
Plan International Ireland,Update Members,2026-06-26 10:02:27.184000Z,187475M,Completed,Active
Tenable Network Security Ireland Limited,Update Members,2026-06-26 09:57:58.493000Z,190141M,Received,Active
