Organization Name,Use Case Name,Submission Date and Time (UTC),Reference Number,Submission Status,Organization Status
Cornmarket,Retirement Dates,2026-05-25 16:31:11.940000Z,159412M,Completed,Active
Cornmarket,Retirement Dates,2026-05-22 11:28:54.849000Z,159400M,Completed,Active
Cornmarket,Retirement Dates,2026-05-21 10:43:02.574000Z,163791M,Completed,Active
Cornmarket,Retirement Dates,2026-05-12 08:20:59.209000Z,163796M,Cancelled,Active
Cornmarket,Retirement Dates,2026-05-11 14:22:20.742000Z,163796M,Received,Active
Cornmarket,Retirement Dates,2026-05-11 14:21:28.488000Z,163791M,Received,Active
Cornmarket,Retirement Dates,2026-05-11 14:08:49.314000Z,163788M,Received,Active
Cornmarket,Retirement Dates,2026-05-11 13:57:37.072000Z,163796M,Submitted,Active
Cornmarket,Retirement Dates,2026-05-11 13:56:18.590000Z,163791M,Submitted,Active
Cornmarket,Retirement Dates,2026-05-11 13:53:58.583000Z,163788M,Submitted,Active
Cornmarket,Retirement Dates,2026-05-07 11:27:59.494000Z,162345M,Received,Active
Cornmarket,Retirement Dates,2026-05-07 10:56:47.789000Z,162345M,Submitted,Active
The Irish Times,Update Members,2026-05-29 15:20:49.060000Z,171746M,Completed,Active
Comhlucht Iascaireacht Fanad Teoranta,Update Members,2026-05-29 14:45:47.653000Z,174702M,Received,Active
CIE Group,Update Members,2026-05-29 14:34:08.325000Z,171789M,Completed,Active
Intercom R and D Unlimited Company,Update Members,2026-05-29 14:33:32.657000Z,174701M,Received,Active
Comhlucht Iascaireacht Fanad Teoranta,Update Members,2026-05-29 14:08:57.153000Z,174702M,Submitted,Active
Intercom R and D Unlimited Company,Update Members,2026-05-29 14:06:12.531000Z,174701M,Submitted,Active
Cohesity International Limited,Update Members,2026-05-29 13:52:43.763000Z,162651M,Completed,Active
Securitas Security Services Ireland Ltd,Update Members,2026-05-29 13:44:14.983000Z,174676M,Received,Active
Securitas Security Services Ireland Ltd,Update Members,2026-05-29 13:28:44.798000Z,174676M,Submitted,Active
BearingPoint Ireland Limited,Update Members,2026-05-29 13:01:27.997000Z,146689M,Cancelled,Active
The Irish Times,Update Members,2026-05-29 09:45:51.021000Z,171751M,Completed,Active
Stantec UK Limited Ireland Branch,Update Members,2026-05-29 08:01:19.843000Z,171654M,Completed,Active
Hertz Europe Service Centre Limited,Update Members,2026-05-29 07:02:58.711000Z,170133M,Completed,Active
Grifols Worldwide Operations Ltd,Update Members,2026-05-28 16:45:09.925000Z,174278M,Received,Active
Grifols Worldwide Operations Ltd,Update Members,2026-05-28 16:26:59.991000Z,174278M,Submitted,Active
Source Galileo Ireland Limited,Update Members,2026-05-28 15:43:30.230000Z,174227M,Received,Active
Sandvik Mining and Construction Logistics,Update Members,2026-05-28 15:43:09.917000Z,171119M,Completed,Active
Source Galileo Ireland Limited,Update Members,2026-05-28 15:29:25.663000Z,174227M,Submitted,Active
Spearline Labs Limited,Update Members,2026-05-28 14:56:14.393000Z,172867M,Completed,Active
Tata Consultancy Services Ltd,Update Members,2026-05-28 14:41:58.149000Z,161063M,Completed,Active
Caragh Tool and Die Ltd,Update Members,2026-05-28 13:55:19.755000Z,174149M,Received,Active
Caragh Tool and Die Ltd,Update Members,2026-05-28 13:30:42.724000Z,174149M,Submitted,Active
Shopify International Limited,Update Members,2026-05-28 13:00:46.887000Z,174102M,Received,Active
Shopify International Limited,Update Members,2026-05-28 12:46:21.510000Z,174102M,Submitted,Active
Irish Business and Employers Confederation,Update Members,2026-05-28 10:08:54.241000Z,170036M,Completed,Active
Korn Ferry IE Limited,Update Members,2026-05-28 07:22:51.807000Z,152822M,Cancelled,Active
Magnet Networks Ltd,Update Members,2026-05-27 15:32:29.196000Z,173647M,Received,Active
Beacon Hospital Sandyford Limited,Update Members,2026-05-27 15:28:35.991000Z,166508M,Completed,Active
Magnet Networks Ltd,Update Members,2026-05-27 15:16:00.694000Z,173647M,Submitted,Active
Prosper Group Fingal and Meath,Update Members,2026-05-27 15:08:01.662000Z,173626M,Received,Active
Prosper Group Fingal and Meath,Update Members,2026-05-27 15:08:00.669000Z,173625M,Received,Active
Prosper Group Fingal and Meath,Update Members,2026-05-27 15:08:00.389000Z,173622M,Received,Active
Prosper Group Fingal and Meath,Update Members,2026-05-27 14:40:33.460000Z,173626M,Submitted,Active
Prosper Group Fingal and Meath,Update Members,2026-05-27 14:39:19.689000Z,173625M,Submitted,Active
Prosper Group Fingal and Meath,Update Members,2026-05-27 14:37:27.268000Z,173622M,Submitted,Active
Intercom R and D Unlimited Company,Update Members,2026-05-27 14:31:49.650000Z,173606M,Received,Active
Intercom R and D Unlimited Company,Update Members,2026-05-27 14:18:48.746000Z,173606M,Submitted,Active
Western Union,Update Members,2026-05-27 13:13:07.349000Z,126899M,Completed,Active
Unio Employee Benefits,Update Members,2026-05-27 11:15:31.974000Z,173431M,Received,Active
Unio Employee Benefits,Update Members,2026-05-27 10:54:31.957000Z,173431M,Submitted,Active
Ecocem Ireland Limited,Update Members,2026-05-27 10:22:48.660000Z,171585M,Completed,Active
Firhouse Credit Union Ltd,Update Members,2026-05-27 09:40:12.828000Z,173322M,Received,Active
Bord na Mona PLC,Update Members,2026-05-27 09:30:36.510000Z,170109M,Completed,Active
Firhouse Credit Union Ltd,Update Members,2026-05-27 09:17:06.202000Z,173322M,Submitted,Active
Roadstone Limited,Update Members,2026-05-27 08:49:51.261000Z,173288M,Received,Active
Roadstone Limited,Update Members,2026-05-27 08:34:22.638000Z,173288M,Submitted,Active
Aldi Stores Ireland,Update Members,2026-05-27 07:42:08.277000Z,173250M,Received,Active
Aldi Stores Ireland,Update Members,2026-05-27 07:26:54.960000Z,173250M,Submitted,Active
Viatel Ireland Ltd,Update Members,2026-05-26 14:19:36.408000Z,169747M,Completed,Active
Spearline Labs Limited,Update Members,2026-05-26 12:00:09.428000Z,172867M,Received,Active
Spearline Labs Limited,Update Members,2026-05-26 11:42:41.939000Z,172867M,Submitted,Active
Aldi Stores Ireland,Update Members,2026-05-26 11:20:58.470000Z,172833M,Received,Active
Aldi Stores Ireland,Update Members,2026-05-26 11:20:56.986000Z,172834M,Received,Active
